customerid,lastname,firstname,areacode,area,birthday,age,sex,totalprice,lastorderdate
V1405779,チク,チヤス,8,茨城県,1968/2/5,53,2,3540,2020/1/8
O1405864,ニナ,ノフ,14,神奈川県,1977/3/29,44,1,2120,2019/3/2
M1405940,ネイミ,ウオヨ,10,群馬県,1982/8/19,39,2,39500,2021/8/3
J1406092,ヤカミハ,ハヒチセ,34,広島県,1929/10/31,92,2,22022,2021/1/21
N1406133,スエマ,ンヲワ,26,京都府,1977/1/5,44,1,64700,2021/9/8
A1406279,ウマ,ワシメ,1,北海道,1979/2/21,42,2,79600,2021/8/19
T1406317,キヒマコ,セミ,13,東京都,1928/11/17,92,2,15499,2020/10/19
K1406488,エチ,ムヤ,23,愛知県,1972/2/8,49,1,75200,2021/10/24
V1406544,コテ,スコ,7,福島県,1936/7/12,85,1,37100,2020/10/3
R1406671,ハヌクメ,ナヌ,21,岐阜県,1965/11/14,55,2,18000,2019/8/23
P1406731,ムヘタ,ヨヌキ,30,和歌山県,1996/2/4,25,1,65700,2021/6/27
F1406819,フケ,ヤヘホ,5,秋田県,1984/4/19,37,1,29300,2020/11/1
R1406944,ヌヌ,タソカ,23,愛知県,1927/4/24,94,1,32700,2019/12/11
P1407021,ヘホハ,アワカ,7,福島県,1923/11/2,98,1,42800,2021/5/4
O1407172,コユオ,ソシ,9,栃木県,1935/1/13,86,1,60944,2021/3/31
X1407276,テヤソ,セテテ,37,香川県,1979/7/5,42,1,10100,2020/1/9
D1407390,ニミト,ミヘスキ,2,青森県,1969/6/11,52,2,52000,2020/2/2
V1407498,ネサケ,コアエカ,19,山梨県,2002/2/27,19,1,4394,2021/7/15
M1407529,ヌサヨニ,ウネニモ,40,福岡県,1928/3/12,93,2,53265,2021/6/26
U1407666,セナ,ヨツ,20,長野県,1996/1/15,25,2,61700,2021/5/4
G1407750,コヌ,テヌヘマ,33,岡山県,1993/6/1,28,1,26500,2019/8/22
L1407820,ヌセモ,イヌモ,6,山形県,1984/12/28,36,1,26627,2021/9/13
A1407934,ミセセケ,クスヨイ,33,岡山県,1985/4/20,36,1,60000,2020/11/8
T1408053,ニメヌ,クトオ,31,鳥取県,1982/7/16,39,1,22653,2021/2/17
T1408161,ケウ,サクミ,7,福島県,1970/1/5,51,2,35400,2021/6/21
P1408266,ツエンソ,ヨマ,41,佐賀県,1982/2/13,39,1,56276,2021/8/31
L1408394,ヨノ,オネス,17,石川県,2001/4/6,20,2,23000,2019/11/26
F1408475,アエハセ,エイ,23,愛知県,1962/5/5,59,1,37578,2021/5/1
O1408518,ユアコ,クス,15,新潟県,1936/10/9,85,1,30200,2020/10/4
R1408668,ハオスハ,モホヒエ,32,島根県,1968/7/22,53,2,33800,2019/11/7
J1408719,ンオン,ヘヘムエ,31,鳥取県,2000/11/3,21,1,40889,2021/10/24
Z1408861,ウツ,ノハヌ,7,福島県,2006/8/3,15,1,6900,2021/9/22
H1408972,ツア,チアシハ,6,山形県,1945/7/17,76,1,30100,2021/9/9
G1409084,ユソ,ナコクキ,19,山梨県,1931/3/29,90,2,72200,2020/6/10
O1409137,モメコミ,フミ,25,滋賀県,1980/10/16,41,1,49351,2020/9/9
G1409281,テン,ヌスヘシ,8,茨城県,1948/6/9,73,2,34200,2020/4/23
O1409366,コチキ,エメフ,28,兵庫県,1955/8/1,66,2,124200,2021/8/19
U1409468,ンスミシ,クツキ,31,鳥取県,1953/4/7,68,2,104300,2020/11/16
I1409543,ユクモ,ニンハサ,29,奈良県,1934/7/30,87,2,53100,2020/5/27
G1409699,セイホ,ノスタユ,46,鹿児島県,1976/4/5,45,2,77700,2021/6/27
R1409767,ヨテ,ツオ,37,香川県,1961/3/17,60,2,22500,2020/7/31
Z1409822,サオワ,ンナオ,39,高知県,1991/10/13,30,2,46300,2021/10/7
P1409981,テテテ,ツムヌオ,6,山形県,1984/12/8,36,1,28700,2020/1/6
J1410094,ワユ,テノコヒ,34,広島県,2005/2/13,16,2,32453,2021/1/5
H1410118,ハフイイ,メホ,2,青森県,1986/6/21,35,2,5500,2019/5/29
F1410270,ンヨホセ,ワメソヲ,3,岩手県,1981/8/19,40,1,63498,2021/10/17
F1410385,アツ,ヘフ,20,長野県,1944/2/1,77,2,103100,2021/8/3
V1410411,ミタ,コタサ,42,長崎県,1993/2/10,28,2,19936,2020/9/26
J1410582,アトシ,エケ,17,石川県,1948/3/2,73,2,11135,2021/10/25
T1410610,ワテマ,モクツチ,32,島根県,1985/9/23,36,1,41321,2021/5/12
K1410766,シコユ,ミムマ,31,鳥取県,1951/7/17,70,1,65207,2021/8/15
S1410887,ツサユト,マシム,47,沖縄県,1965/1/5,56,2,2000,2020/2/29
I1410933,ノナケタ,アテヲ,12,千葉県,1938/12/31,82,1,41900,2021/6/23
B1411015,キニ,クヲ,26,京都府,1969/3/21,52,2,39700,2021/7/2
W1411110,ヘス,アタオ,20,長野県,2004/7/10,17,2,61900,2021/8/17
S1411228,ハハ,ホメト,13,東京都,1926/8/22,95,2,39200,2020/1/21
O1411318,アサワ,キワエカ,19,山梨県,1982/4/11,39,2,94800,2021/4/17
S1411418,ムネコノ,カヨスメ,24,三重県,1964/11/26,56,1,14500,2021/9/3
P1411579,ナヘウ,チテモヨ,29,奈良県,1996/4/23,25,1,18100,2021/10/12
B1411663,テエ,ヘイス,8,茨城県,1999/8/16,22,2,27400,2021/2/3
U1411731,イヤ,ネサ,11,埼玉県,1946/7/3,75,2,26000,2021/3/12
R1411827,コシ,モナソ,37,香川県,1955/6/27,66,1,91500,2021/6/24
G1411936,ケカ,テフユ,34,広島県,1992/6/19,29,2,42655,2021/2/25
V1412086,ソウ,カハフセ,45,宮崎県,1945/11/15,75,2,44100,2021/10/28
L1412111,スイム,モユノナ,17,石川県,1985/8/13,36,1,20961,2020/10/9
H1412250,タン,ムインワ,3,岩手県,1985/10/4,36,1,11913,2019/12/23
N1412342,スナ,ヘニネシ,20,長野県,1989/12/9,31,2,60627,2021/3/16
O1412418,イキケ,トメシ,29,奈良県,2002/7/9,19,2,48479,2020/7/31
S1412547,ンチ,ネチ,26,京都府,1939/1/14,82,1,28412,2020/4/9
L1412667,ヲス,キムチム,6,山形県,1977/2/18,44,1,21800,2020/9/6
O1412794,ヨワツ,キタオエ,39,高知県,1998/6/12,23,1,75632,2021/6/3
Y1412845,ヲメ,ヌトヲ,10,群馬県,1970/11/28,50,2,42407,2021/5/23
L1412921,カス,ホン,18,福井県,1930/3/17,91,2,20421,2020/3/22
V1413094,ホトヨホ,アワ,28,兵庫県,1950/11/17,70,2,65100,2021/1/21
W1413142,ムハ,トフウ,2,青森県,1994/10/27,27,2,98700,2021/7/26
X1413254,オミヨ,ヲサ,7,福島県,1999/7/28,22,1,78100,2021/6/11
X1413346,ネナ,ンハフツ,5,秋田県,1941/4/8,80,1,6100,2021/4/6
Q1413496,ヨオタク,アヨンサ,30,和歌山県,2006/7/14,15,2,12100,2020/4/6
L1413548,ツム,スコ,47,沖縄県,1988/4/30,33,2,35263,2021/4/9
I1413665,モクヒニ,テヨンマ,39,高知県,2005/12/25,15,1,14800,2020/9/21
P1413746,チシマイ,ソテ,6,山形県,1983/5/30,38,1,19800,2019/10/30
C1413825,ヨアノ,スウム,25,滋賀県,1976/3/1,45,2,17600,2020/2/23
P1413922,コナ,メイココ,31,鳥取県,1987/3/26,34,1,18000,2020/6/13
I1414076,ヒテ,セン,18,福井県,1984/2/18,37,2,15478,2021/9/21
I1414168,ンウ,クト,12,千葉県,1966/1/4,55,1,70400,2020/11/24
U1414251,ミヨナヘ,ウメヒ,23,愛知県,1922/9/28,99,1,64100,2021/8/25
A1414330,カト,クヒウ,15,新潟県,1951/12/27,69,2,16700,2021/4/23
O1414416,ヨマテ,ヘソナア,33,岡山県,1983/3/17,38,1,14200,2020/5/9
R1414585,メオ,メコネメ,3,岩手県,1935/9/14,86,2,12100,2021/3/16
H1414668,ムモツワ,アニタ,20,長野県,1950/3/2,71,2,53500,2021/3/10
F1414740,ヌシアチ,ヌナヒホ,9,栃木県,1960/9/23,61,1,54900,2021/6/11
S1414896,マヲハソ,カカエ,33,岡山県,1946/7/27,75,2,27863,2020/8/14
D1414963,ウオテ,ヤヌ,1,北海道,1976/12/10,44,1,37170,2021/3/29
Q1415075,シチ,クヒカン,7,福島県,1927/4/18,94,1,14600,2020/3/23
F1415171,ヘイコカ,テカ,39,高知県,1925/11/22,95,2,38784,2021/5/12
O1415261,ケコ,エチエネ,20,長野県,1950/7/21,71,2,72200,2021/8/12
S1415349,トウ,ムナ,22,静岡県,1940/10/15,81,1,92300,2021/9/1
J1415443,チス,スノツ,25,滋賀県,1964/10/14,57,2,64900,2021/9/11
U1415581,ソオム,ヒメノ,19,山梨県,1968/1/1,53,1,26741,2020/9/29
W1415639,マン,ヤヒチエ,40,福岡県,1941/9/24,80,2,20300,2019/6/1
E1415757,ンケ,ソクワネ,28,兵庫県,1971/9/13,50,1,70300,2020/2/15
F1415828,タワチ,メチツム,1,北海道,1943/4/8,78,1,37500,2020/3/2
U1415975,ヌスウ,タン,2,青森県,1934/12/10,86,1,27700,2020/10/29
U1416063,ネアニ,マヨムユ,13,東京都,1949/5/11,72,2,7000,2020/6/3
K1416111,コイアヘ,トイメ,39,高知県,1922/10/5,99,2,37400,2021/7/26
J1416262,ワムア,ヘミ,24,三重県,1957/6/18,64,1,38000,2019/6/8
F1416314,ナメイ,タツヲン,7,福島県,1970/1/18,51,2,26900,2021/5/28
R1416451,オヘ,ンフヨア,21,岐阜県,1987/1/22,34,2,9027,2021/6/7
Z1416551,ナセ,フアセ,5,秋田県,1933/11/29,87,2,32700,2020/2/6
R1416673,ヤコ,チヲキ,34,広島県,1963/11/25,57,2,67500,2021/4/28
I1416736,ノヨハタ,ムモハヨ,13,東京都,1977/12/14,43,2,38562,2021/5/25
B1416880,クヤ,ムノ,12,千葉県,1928/8/22,93,1,30000,2019/10/18
Q1416928,ナハ,ウクモキ,42,長崎県,1937/9/10,84,2,77000,2020/11/30
G1417044,ヲヘヒナ,ユキカウ,36,徳島県,1925/11/11,95,2,42591,2020/7/1
U1417159,ソヨイキ,アユホ,2,青森県,1987/12/17,33,1,1500,2021/3/3
A1417291,モム,ミムウ,44,大分県,1933/3/4,88,1,38474,2021/4/6
I1417378,ムヌ,スイホ,8,茨城県,1959/5/9,62,1,33448,2021/2/12
L1417479,タトウ,クモ,8,茨城県,2000/12/18,20,1,24500,2020/8/20
N1417545,メフイサ,マナ,29,奈良県,2002/6/9,19,2,27936,2021/5/22
I1417665,セオ,ウフナメ,32,島根県,1989/9/29,32,2,10500,2019/3/12
S1417797,サソキ,ヒコ,16,富山県,1969/4/14,52,1,18600,2020/10/7
P1417864,スヲヘマ,ミキメ,16,富山県,1994/6/14,27,2,51900,2021/3/26
P1417920,フネフ,ヘヒテ,17,石川県,1925/1/24,96,2,13305,2020/9/30
L1418031,ツヒ,アマメ,22,静岡県,1947/8/27,74,1,42200,2021/10/27
I1418151,ムモテコ,フテマチ,14,神奈川県,2005/7/29,16,1,29977,2021/5/4
P1418237,ミヨコヨ,マムヲ,10,群馬県,1996/3/10,25,1,12610,2021/3/25
I1418375,ヘチサモ,シトフエ,26,京都府,1958/9/3,63,2,25595,2021/1/1
X1418417,ヲクチ,ヒカ,40,福岡県,1963/7/28,58,2,65400,2021/3/26
M1418597,ヨユ,カオテモ,30,和歌山県,1928/10/2,93,1,13200,2021/7/26
M1418664,ヒン,ユニヤ,45,宮崎県,1930/5/10,91,1,51400,2020/9/12
I1418782,ミツワ,シチメカ,19,山梨県,1936/2/13,85,2,39200,2021/7/19
W1418851,サユワン,ヘニケ,24,三重県,1977/8/13,44,2,74000,2021/3/13
Q1418967,エヒワヌ,ヒク,13,東京都,1928/8/18,93,1,84200,2021/7/21
H1419069,エコ,ニムソ,47,沖縄県,1983/3/19,38,1,36085,2021/2/27
O1419179,ケコメノ,アソヒ,20,長野県,1995/4/22,26,2,74899,2020/11/14
P1419298,エナナ,ヌヲウウ,31,鳥取県,1995/9/3,26,2,22900,2021/2/16
S1419346,ニクモ,フワ,17,石川県,1927/2/24,94,2,53400,2020/7/1
J1419491,ソネカ,スヒヒ,42,長崎県,1995/4/20,26,1,96179,2021/7/18
C1419532,ヒム,フウ,19,山梨県,1929/5/29,92,2,28100,2019/10/30
V1419687,ネヒ,エノ,46,鹿児島県,1964/9/6,57,1,14600,2021/9/9
Q1419728,ヲサク,ハホオワ,35,山口県,1953/6/10,68,2,56400,2021/6/6
D1419837,イシユメ,ワオキ,19,山梨県,1926/2/1,95,2,32000,2020/9/5
E1419959,アヒマ,ワセヲサ,20,長野県,1996/1/22,25,2,54023,2021/9/15
Y1420061,マヒヌ,ヤフヲホ,17,石川県,1953/1/8,68,2,39700,2021/10/29
O1420149,ハシツツ,ネヨエユ,46,鹿児島県,1924/4/5,97,1,35700,2020/7/22
N1420223,ノシタ,ヲスヤス,23,愛知県,1994/3/27,27,1,63400,2021/1/31
W1420376,コヲ,ヌヨ,24,三重県,1984/11/24,36,2,36921,2020/9/5
E1420462,ムアア,ユカチ,3,岩手県,2000/9/23,21,1,48900,2021/7/13
I1420554,ヲセウス,ヒアモフ,39,高知県,1990/4/13,31,2,36518,2021/10/29
J1420651,ヒヨヌ,エサチモ,26,京都府,1973/12/24,47,1,26914,2021/4/12
S1420720,ソヘシ,モホヨ,18,福井県,1987/12/26,33,2,74000,2021/9/15
S1420887,クテセ,シクツウ,9,栃木県,1929/1/1,92,1,65900,2021/2/4
D1420963,ニイネ,トニカ,21,岐阜県,1931/11/30,89,1,59902,2021/6/17
L1421033,オツ,ミノコハ,9,栃木県,1934/4/21,87,1,50600,2021/9/13
F1421134,ナクヌヲ,モユ,9,栃木県,1936/8/2,85,1,52900,2021/7/1
T1421263,カユモツ,フニソ,20,長野県,1934/9/2,87,1,24600,2021/4/12
V1421376,ヨンカ,ワニ,21,岐阜県,1937/6/26,84,2,902,2019/9/7
Q1421489,ソミオメ,ニウ,3,岩手県,2004/1/26,17,2,51300,2020/10/16
I1421582,コキ,ウニニム,22,静岡県,1990/6/21,31,2,43029,2020/10/6
H1421614,ウソ,ノオソケ,4,宮城県,1939/1/21,82,1,60800,2021/4/16
E1421735,チノオ,セサト,16,富山県,1976/7/18,45,2,80000,2021/6/30
Q1421889,モクセ,ヒキケ,47,沖縄県,1971/12/11,49,2,41200,2021/3/23
K1421925,ノヒ,スヲケ,46,鹿児島県,1989/6/27,32,1,19100,2021/3/20
K1422045,ハム,ヨオワ,44,大分県,1941/12/10,79,1,32856,2021/8/21
X1422181,ハヒマヤ,ハホ,18,福井県,1968/5/14,53,1,101100,2021/10/14
G1422285,サキ,エヘユソ,28,兵庫県,1999/10/23,22,2,102800,2021/5/4
Y1422317,コタチ,メキト,23,愛知県,1971/9/2,50,2,42669,2021/9/21
R1422477,マメ,ヒヤミコ,30,和歌山県,1995/3/20,26,1,42007,2021/10/8
M1422553,エハスエ,キエツ,1,北海道,1981/1/22,40,2,35100,2019/5/5
P1422615,ヲケホネ,ソヨモ,29,奈良県,1948/4/4,73,2,61525,2021/8/11
Y1422794,タチニ,オメユス,47,沖縄県,1939/6/22,82,2,28700,2020/7/16
J1422814,モモア,ヤサ,20,長野県,1929/6/28,92,1,41900,2019/12/18
U1422984,ヲハイ,モトケナ,24,三重県,1975/6/17,46,1,23283,2021/8/5
K1423034,メスノナ,マケム,15,新潟県,1924/1/3,97,1,21400,2020/12/10
Y1423188,トンシス,カキアミ,3,岩手県,1972/10/20,49,2,1934,2019/4/27
N1423298,カト,ソサハノ,38,愛媛県,1949/10/17,72,2,65700,2020/7/6
A1423355,サメマ,ヨタタフ,22,静岡県,1957/12/10,63,1,91393,2021/11/1
I1423420,ナトヒワ,タエハス,30,和歌山県,1963/6/7,58,1,68162,2021/9/6
N1423590,シチムヘ,ユヌサ,21,岐阜県,1939/1/16,82,2,58899,2021/5/7
L1423677,ケワセカ,テヨマト,10,群馬県,1937/3/4,84,2,24200,2021/3/21
Q1423782,ナヨス,ヨサケシ,38,愛媛県,1934/2/10,87,1,47100,2021/10/24
T1423812,ニキ,ユミコ,25,滋賀県,1929/2/6,92,2,20103,2021/7/5
F1423948,ンソワ,モシオト,27,大阪府,1983/8/15,38,1,12481,2020/9/29
V1424072,エエ,イニ,40,福岡県,1937/11/11,83,2,101300,2021/10/12
N1424197,ミケヒス,ウマソヘ,14,神奈川県,1984/4/9,37,1,58851,2020/10/17
T1424262,メサ,サシヘ,7,福島県,2005/5/23,16,2,36400,2021/4/5
T1424354,ホソフ,カト,44,大分県,1963/11/13,57,2,45400,2021/9/15
I1424490,タハソ,マト,45,宮崎県,1968/9/1,53,2,21200,2021/6/5
G1424546,ネモ,カヌヒヤ,46,鹿児島県,1961/6/21,60,1,22230,2020/9/18
E1424623,カノカ,ハシソン,22,静岡県,1967/10/8,54,2,52700,2021/4/22
Y1424750,ソノオヨ,ヨマ,41,佐賀県,1965/5/11,56,2,52700,2021/10/5
M1424847,オネニ,テタオツ,37,香川県,1997/6/28,24,2,29854,2021/9/3
M1424995,マテノヨ,ネメンメ,14,神奈川県,1939/4/25,82,2,17700,2021/2/27
X1425064,ツカサセ,ヌニ,31,鳥取県,2002/6/17,19,1,35289,2021/4/25
V1425149,カコ,ムネヌ,31,鳥取県,1970/1/15,51,2,47000,2019/9/19
U1425215,ケノン,ツネフ,44,大分県,1962/8/23,59,1,11900,2021/8/13
C1425396,ヒツ,サキ,37,香川県,1921/11/28,99,2,8400,2019/6/13
T1425467,ハイワ,シカヤミ,17,石川県,2001/6/2,20,2,52600,2021/7/12
P1425545,カヘ,ヨイ,42,長崎県,1988/7/12,33,1,16600,2019/12/12
R1425641,ムツ,コホケモ,9,栃木県,1980/12/9,40,2,23593,2020/3/17
C1425712,ヘモフ,エヒ,4,宮城県,1957/9/12,64,2,37316,2019/6/17
D1425828,ケナテ,テシホノ,46,鹿児島県,1998/10/17,23,1,93300,2021/2/4
Z1425914,ナハ,マケ,28,兵庫県,1998/8/1,23,2,50900,2021/1/22
M1426054,ヌクノオ,オコ,35,山口県,1987/5/15,34,1,54000,2021/9/3
P1426182,エン,テナ,10,群馬県,1952/11/1,69,2,25703,2021/6/30
J1426245,ウオサ,ウケ,22,静岡県,1961/10/7,60,1,18100,2020/8/13
B1426394,ヘハ,ミサヲ,21,岐阜県,1988/2/16,33,1,20100,2021/7/20
X1426491,ネヤモ,ツチマ,40,福岡県,1929/2/6,92,2,49000,2019/9/19
W1426564,ネソ,コオケヌ,13,東京都,1952/2/12,69,2,4000,2021/7/10
L1426650,アス,サシ,11,埼玉県,1923/8/2,98,1,83961,2021/5/22
G1426779,アヘ,ンクメ,45,宮崎県,1957/9/19,64,2,25790,2021/2/19
F1426883,ツミホ,トムクワ,1,北海道,1927/6/16,94,2,93700,2021/6/18
X1426973,ユカヘス,キヤエカ,16,富山県,1975/1/30,46,1,2981,2021/9/10
Q1427076,ヲキオ,ヤンミエ,33,岡山県,1990/9/8,31,2,2246,2020/4/23
W1427146,アタナハ,チモムヨ,13,東京都,1989/5/21,32,1,25700,2020/6/23
O1427250,ヘヘ,アヒハ,14,神奈川県,1967/11/4,53,2,36400,2021/4/11
T1427359,ヤエハ,ヤメモ,9,栃木県,1963/1/20,58,2,30032,2021/7/31
N1427439,セソクモ,ヌワハ,33,岡山県,1965/7/31,56,2,37000,2020/6/21
X1427545,ハヲン,カチ,43,熊本県,1982/6/23,39,1,52969,2021/10/16
J1427631,スミ,ツケムク,2,青森県,1928/8/4,93,1,69053,2020/9/15
O1427738,カネイ,トンス,36,徳島県,1967/2/14,54,2,21100,2021/2/19
C1427896,ヲマケマ,エヘケ,18,福井県,1993/9/30,28,1,31743,2021/8/12
E1427961,ナワナ,タヨエミ,20,長野県,2005/1/28,16,1,67200,2020/11/28
V1428046,ノタイ,ホタ,47,沖縄県,2006/4/13,15,2,39323,2021/10/15
X1428177,ネヨツホ,ヨオハテ,31,鳥取県,1995/11/12,25,2,21506,2021/10/31
X1428259,ミトカ,ミウスサ,9,栃木県,1961/11/17,59,2,47400,2021/1/19
S1428392,ホヌ,メカフ,41,佐賀県,1971/11/7,49,2,36100,2021/6/8
A1428499,シムミ,ノツ,38,愛媛県,1990/1/16,31,1,13642,2019/9/16
U1428584,チノオノ,セケフ,14,神奈川県,1974/7/4,47,2,40600,2021/10/1
B1428693,ンヘ,ワタテヲ,33,岡山県,1922/9/7,99,1,17100,2021/1/13
M1428768,メトミ,ワセユ,29,奈良県,1992/3/13,29,1,42800,2019/8/13
X1428831,ノチ,ヨメセ,28,兵庫県,1940/6/4,81,1,44600,2021/5/23
Q1428918,クエ,イニ,46,鹿児島県,1972/3/17,49,1,29600,2021/4/15
W1429079,スタス,メヌワフ,42,長崎県,1945/1/11,76,2,45600,2020/11/2
A1429178,ハミ,スキニ,36,徳島県,1972/2/25,49,1,31172,2021/2/6
V1429299,ネチ,セヘモホ,33,岡山県,1993/5/26,28,2,39284,2021/3/29
Q1429383,ヘツミ,ナナ,1,北海道,1922/1/9,99,1,61372,2021/8/6
M1429487,スケト,ミマク,21,岐阜県,1995/8/3,26,2,52600,2021/5/31
Q1429540,アノケオ,シヘ,9,栃木県,1927/11/9,93,1,16000,2021/9/1
H1429629,スマ,メイケマ,6,山形県,1993/9/11,28,1,32600,2021/10/2
F1429741,ムヤ,ニスワ,13,東京都,1948/8/21,73,1,21306,2019/7/18
I1429862,ソナンナ,アニテ,7,福島県,1943/12/6,77,1,118300,2021/9/23
P1429933,セサモホ,ホント,40,福岡県,1992/9/17,29,2,25753,2021/10/3
J1430054,ヤスネ,フマキソ,46,鹿児島県,2003/2/24,18,2,9000,2020/7/21
G1430136,ニヤナ,オノエス,14,神奈川県,2001/5/30,20,2,9400,2020/8/31
W1430273,ユホ,ムンヨコ,31,鳥取県,1953/4/4,68,1,28600,2021/7/9
V1430340,マノミ,テソナ,21,岐阜県,1959/10/24,62,2,58200,2021/4/23
I1430425,ナフ,ニイタユ,38,愛媛県,1954/5/15,67,1,54032,2020/11/20
K1430558,クカソヒ,ワオツ,33,岡山県,1987/12/17,33,2,66655,2021/10/10
F1430681,チセモニ,フヲノケ,24,三重県,2005/5/24,16,1,16600,2021/8/22
J1430727,ノメツキ,コネ,23,愛知県,1982/9/16,39,1,27000,2021/5/28
P1430874,ヘノモ,トイホフ,16,富山県,1950/11/5,70,2,17100,2019/10/24
G1430993,コユハ,チイネウ,21,岐阜県,1951/2/6,70,1,83700,2020/11/28
P1431013,ヨワ,ヤン,29,奈良県,1933/4/7,88,2,28210,2021/3/17
L1431117,フサヘモ,サヘタウ,7,福島県,1941/8/15,80,2,48094,2021/3/12
X1431286,ストニム,ワセ,6,山形県,1937/3/23,84,2,35700,2021/10/10
A1431356,ワモセ,スニホ,6,山形県,1958/6/7,63,1,956,2020/5/20
L1431471,ミウ,ヘヨト,18,福井県,1991/3/27,30,2,32677,2021/10/5
K1431531,テスセ,ムセ,42,長崎県,1974/3/7,47,2,67353,2020/3/15
R1431657,モオ,イツト,7,福島県,1975/12/17,45,2,20257,2020/1/22
W1431799,ユウヲマ,マス,1,北海道,1992/3/2,29,2,60500,2021/9/6
X1431874,エサユノ,ワシヤ,33,岡山県,1945/3/12,76,2,4491,2020/12/2
N1431980,セセキワ,ケシニセ,37,香川県,1962/5/15,59,2,30964,2021/7/28
M1432010,ヒクテナ,オホ,35,山口県,1960/12/3,60,2,31014,2020/10/20
O1432144,ンツ,メソフ,37,香川県,1944/6/8,77,2,17200,2020/11/2
E1432244,ヲイ,ムイ,7,福島県,1923/8/16,98,1,31300,2021/9/14
L1432313,ニシホ,モキ,36,徳島県,1980/12/27,40,1,67500,2021/8/8
U1432430,ソス,ヘネモ,19,山梨県,1929/8/8,92,1,77275,2021/5/27
Z1432526,ハメユア,チツウヌ,1,北海道,1994/2/28,27,2,8866,2021/8/10
A1432640,ミフノ,ウセ,34,広島県,1997/10/19,24,1,23563,2021/4/25
R1432713,ヘノ,ケマ,1,北海道,1968/5/25,53,2,3017,2021/10/9
U1432893,ムナ,ヘフマウ,14,神奈川県,1957/11/28,63,1,74075,2021/11/2
F1432946,ケノテ,ソノフマ,45,宮崎県,1976/4/10,45,2,67200,2021/6/24
I1433085,ヲマ,スサ,40,福岡県,1963/6/15,58,1,22614,2020/8/15
N1433114,ムタ,ウウト,14,神奈川県,1939/1/31,82,1,25989,2021/7/26
Y1433250,クアワ,ヤンテス,8,茨城県,1993/9/14,28,1,69300,2021/4/22
O1433337,モナテ,ノテ,47,沖縄県,1993/12/17,27,1,51100,2021/8/25
G1433440,ユンシ,タスコヘ,25,滋賀県,1942/12/12,78,2,29217,2020/2/7
T1433569,サユ,ヘイヨ,28,兵庫県,1971/12/27,49,2,11105,2021/9/29
T1433662,クウトヘ,ワワサ,17,石川県,1983/9/5,38,1,1200,2020/8/28
O1433746,ハヌヒメ,ヒタ,44,大分県,1934/11/13,86,1,69200,2020/7/25
M1433825,チノ,クカアキ,34,広島県,1991/7/22,30,2,18700,2021/6/8
D1433913,ムホ,ナン,22,静岡県,1998/9/15,23,2,2376,2020/10/3
S1434086,メムワセ,サタセ,37,香川県,1998/4/29,23,2,20300,2021/9/7
W1434190,コスア,ワテキ,4,宮城県,1942/2/7,79,1,50514,2020/10/21
F1434278,ヘキエ,モシオテ,18,福井県,1950/3/4,71,2,2700,2021/9/7
N1434333,ソムシ,ンテ,13,東京都,1961/4/15,60,2,46623,2021/1/25
X1434490,ミテワ,ヨセナヲ,23,愛知県,1996/2/10,25,2,68075,2021/9/20
C1434513,ウシ,ナコナ,2,青森県,1990/1/3,31,1,48383,2020/3/23
Z1434699,キマヤサ,ノイ,7,福島県,1968/5/10,53,2,55066,2019/9/1
A1434795,テツエ,ノカフス,8,茨城県,1940/3/6,81,2,20000,2019/11/2
T1434848,ウフヒ,ンワワ,31,鳥取県,1974/2/9,47,1,51058,2021/9/25
N1434943,チヘムテ,マナワヒ,19,山梨県,1990/12/21,30,2,55719,2020/9/26
N1435093,ミオナフ,ヘン,2,青森県,1930/7/9,91,2,26419,2020/10/28
U1435113,キクネ,キトタ,28,兵庫県,1986/4/17,35,1,37700,2020/5/21
O1435275,セセハノ,クカエ,41,佐賀県,1945/6/29,76,2,32953,2021/6/13
Z1435385,ンオ,カチアン,33,岡山県,1953/5/4,68,2,683,2019/11/1
N1435437,フツチ,ヲクフ,17,石川県,1988/7/22,33,2,17600,2021/1/12
L1435537,ナタミハ,マヲホタ,10,群馬県,1967/11/1,54,1,52000,2021/6/13
H1435658,アヒタヌ,ヨヲ,33,岡山県,1977/12/11,43,1,19477,2021/10/24
Y1435718,サス,センアネ,37,香川県,1982/10/28,39,1,1782,2019/8/4
T1435824,ユヤフ,オユフメ,37,香川県,1922/9/11,99,2,37413,2021/9/3
C1435946,ナホノ,ヲコヘチ,42,長崎県,1993/5/4,28,1,76400,2021/9/30
W1436055,ヲア,ハテ,45,宮崎県,1988/2/20,33,2,10651,2021/3/10
Y1436169,チフヌキ,ウセノ,27,大阪府,1973/4/27,48,2,26664,2021/9/21
D1436264,ムワ,ムホモ,42,長崎県,1963/2/21,58,1,93800,2021/10/23
U1436342,モナカヨ,ヌネヨア,47,沖縄県,2005/10/21,16,1,36380,2021/2/16
A1436446,ニナ,シスケエ,9,栃木県,1923/8/24,98,2,52300,2020/10/18
R1436585,ヘマ,エシ,24,三重県,1970/9/5,51,2,67800,2020/7/31
L1436661,マス,ノコメ,13,東京都,1953/7/15,68,2,43900,2020/4/29
Z1436745,エウ,ヘエ,46,鹿児島県,1968/7/14,53,2,46957,2020/6/27
Y1436849,モミ,サミイメ,3,岩手県,1950/3/11,71,2,44970,2021/10/31
